,node_1,node_2,start_of_interaction,end_of_interaction,duration,distance,angle
2486,fly5,fly1,0,30,31,,
1406,fly1,fly5,0,36,37,,
756,fly2,fly10,0,13,14,,
716,fly2,fly5,0,21,22,,
620,fly2,fly6,6,43,38,,
1746,fly6,fly10,9,23,15,,
1496,fly6,fly2,11,29,19,,
2051,fly7,fly9,14,31,18,,
1323,fly1,fly2,31,73,43,,
2629,fly8,fly3,31,53,23,,
600,fly2,fly1,36,72,37,,
1362,fly1,fly6,44,64,21,,
1694,fly6,fly5,44,74,31,,
1569,fly6,fly12,44,105,62,,
1422,fly1,fly10,46,245,200,,
2983,fly10,fly1,49,387,339,,
2156,fly7,fly11,49,89,41,,
1858,fly4,fly11,50,93,44,,
919,fly11,fly4,50,67,18,,
2466,fly5,fly12,56,100,45,,
2272,fly7,fly4,56,116,61,,
1943,fly4,fly7,56,89,34,,
1612,fly6,fly1,61,75,15,,
1497,fly6,fly2,71,101,31,,
2420,fly5,fly2,73,89,17,,
1246,fly12,fly5,81,100,20,,
1695,fly6,fly5,85,101,17,,
571,fly2,fly12,88,113,26,,
1164,fly12,fly6,90,151,62,,
1100,fly12,fly2,98,186,89,,
1944,fly4,fly7,101,122,22,,
621,fly2,fly6,104,143,40,,
1696,fly6,fly5,110,153,44,,
2765,fly8,fly4,112,270,159,,
2005,fly4,fly8,112,269,158,,
2157,fly7,fly11,131,147,17,,
2495,fly5,fly6,141,176,36,,
572,fly2,fly12,151,174,24,,
1498,fly6,fly2,170,192,23,,
1165,fly12,fly6,173,199,27,,
472,fly3,fly8,190,509,320,,
2158,fly7,fly11,201,219,19,,
1570,fly6,fly12,204,220,17,,
1166,fly12,fly6,217,251,35,,
1128,fly12,fly11,218,240,23,,
2421,fly5,fly2,219,234,16,,
881,fly11,fly6,223,242,20,,
717,fly2,fly5,229,256,28,,
1652,fly6,fly7,230,245,16,,
852,fly11,fly12,233,249,17,,
980,fly11,fly5,243,273,31,,
1571,fly6,fly12,245,273,29,,
2467,fly5,fly12,248,279,32,,
112,fly9,fly1,250,403,154,,
1529,fly6,fly11,250,292,43,,
2438,fly5,fly11,260,307,48,,
1697,fly6,fly5,263,290,28,,
2496,fly5,fly6,263,292,30,,
2191,fly7,fly12,272,287,16,,
2422,fly5,fly2,274,291,18,,
1302,fly1,fly9,283,391,109,,
718,fly2,fly5,286,303,18,,
2216,fly7,fly1,294,307,14,,
1391,fly1,fly7,295,313,19,,
824,fly11,fly2,302,360,59,,
981,fly11,fly5,303,372,70,,
2423,fly5,fly2,308,328,21,,
882,fly11,fly6,311,374,64,,
1530,fly6,fly11,318,378,61,,
622,fly2,fly6,326,392,67,,
719,fly2,fly5,329,380,52,,
545,fly2,fly11,330,344,15,,
1653,fly6,fly7,331,345,15,,
2301,fly7,fly5,335,385,51,,
2231,fly7,fly6,339,375,37,,
947,fly11,fly7,342,378,37,,
2159,fly7,fly11,342,367,26,,
2119,fly7,fly2,348,379,32,,
678,fly2,fly7,349,415,67,,
1499,fly6,fly2,360,382,23,,
546,fly2,fly11,362,383,22,,
1654,fly6,fly7,391,413,23,,
2232,fly7,fly6,392,413,22,,
2424,fly5,fly2,398,411,14,,
3041,fly10,fly4,416,438,23,,
948,fly11,fly7,420,436,17,,
1531,fly6,fly11,422,438,17,,
2120,fly7,fly2,426,439,14,,
2233,fly7,fly6,429,447,19,,
1655,fly6,fly7,431,448,18,,
2160,fly7,fly11,432,447,16,,
2439,fly5,fly11,450,492,43,,
679,fly2,fly7,451,474,24,,
2497,fly5,fly6,458,499,42,,
2302,fly7,fly5,459,480,22,,
2547,fly5,fly7,459,487,29,,
949,fly11,fly7,463,486,24,,
1303,fly1,fly9,469,507,39,,
883,fly11,fly6,470,486,17,,
